review_id,user_id,product_id,rating,title,review_text,helpful_votes,total_votes,verified_purchase,review_date,language,sentiment_score,word_count,contains_images,contains_video,is_spam,created_at,updated_at
REV_00000001,USER_000080,PROD_000020,4,Love it!,"This automotive product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! The packaging was good.",62,3,True,2025-01-11,en,0.6870965196283081,23,True,False,False,2025-10-25 11:08:42.387497,2025-10-25 11:08:42.387498
REV_00000002,USER_000091,PROD_000079,5,Amazing quality,I'm really happy with this clothing product. The quality is excellent and it works exactly as described. Would definitely recommend to others. Recommended by a friend.,22,128,True,2025-07-30,en,0.9563862765368593,26,True,False,False,2025-10-25 11:08:42.388043,2025-10-25 11:08:42.388044
REV_00000003,USER_000064,PROD_000014,5,Highly recommended,"Great sports & outdoors item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase.",3,39,True,2025-08-15,en,1.0,20,False,False,False,2025-10-25 11:08:42.388544,2025-10-25 11:08:42.388544
REV_00000004,USER_000046,PROD_000047,2,Poor quality,Very disappointed with this home & garden product. Poor quality and doesn't work as advertised. Would not recommend. Easy to use.,57,144,True,2024-10-24,en,0.3494314278982905,21,True,False,False,2025-10-25 11:08:42.389040,2025-10-25 11:08:42.389041
REV_00000005,USER_000025,PROD_000017,4,Best purchase ever,"Great home & garden item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase. Good value for money.",45,11,False,2025-03-23,en,0.7311390365455928,24,True,False,False,2025-10-25 11:08:42.389532,2025-10-25 11:08:42.389532
REV_00000006,USER_000103,PROD_000057,5,Great value for money,"This home & garden product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! The packaging was good.",72,105,False,2025-09-16,en,1.0,25,False,True,False,2025-10-25 11:08:42.390016,2025-10-25 11:08:42.390017
REV_00000007,USER_000151,PROD_000015,5,Perfect!,"Great sports & outdoors item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase. Good value for money.",86,33,True,2024-10-24,en,1.0,24,True,False,False,2025-10-25 11:08:42.390500,2025-10-25 11:08:42.390500
REV_00000008,USER_000001,PROD_000077,3,It's okay,Mixed feelings about this toys & games item. Some good points but also some issues. Could be better. Would buy again.,14,117,True,2025-01-01,en,0.43448508537287456,21,False,False,False,2025-10-25 11:08:42.390986,2025-10-25 11:08:42.390987
REV_00000009,USER_000056,PROD_000062,5,Highly recommended,"Great home & garden item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase. Easy to use.",12,48,False,2025-04-12,en,1.0,23,False,False,False,2025-10-25 11:08:42.391454,2025-10-25 11:08:42.391454
REV_00000010,USER_000081,PROD_000069,4,Perfect!,"This home & garden product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again!",29,48,False,2024-12-04,en,0.8398581603480948,21,True,False,False,2025-10-25 11:08:42.391924,2025-10-25 11:08:42.391925
