review_id,user_id,product_id,rating,title,review_text,helpful_votes,total_votes,verified_purchase,review_date,language,sentiment_score,word_count,contains_images,contains_video,is_spam,created_at,updated_at
REV_00000001,USER_000793,PROD_000407,5,Best purchase ever,"This automotive product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Good customer service.",66,132,True,2025-07-08,en,1.0,22,True,False,False,2025-10-24 08:51:22.471627,2025-10-24 08:51:22.471627
REV_00000002,USER_000362,PROD_000332,5,Excellent product!,"This electronics product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! The packaging was good.",32,87,True,2025-08-07,en,0.947617220684821,23,True,False,False,2025-10-24 08:51:22.471942,2025-10-24 08:51:22.471942
REV_00000003,USER_000326,PROD_000217,3,Decent but not great,Decent sports & outdoors product but not amazing. Does what it's supposed to do but room for improvement. Good value for money.,82,32,True,2024-11-17,en,0.5662742629861381,22,True,False,False,2025-10-24 08:51:22.472228,2025-10-24 08:51:22.472229
REV_00000004,USER_000220,PROD_000410,5,Best purchase ever,I'm really happy with this sports & outdoors product. The quality is excellent and it works exactly as described. Would definitely recommend to others. Would buy again.,17,25,False,2025-02-22,en,1.0,27,True,False,False,2025-10-24 08:51:22.472503,2025-10-24 08:51:22.472504
REV_00000005,USER_000070,PROD_000017,2,Not worth it,Terrible clothing item. Broke after just a few uses. Customer service was unhelpful. Waste of money.,63,56,True,2024-12-13,en,0.17056915636446957,16,False,False,False,2025-10-24 08:51:22.472776,2025-10-24 08:51:22.472777
REV_00000006,USER_000556,PROD_000312,5,Great value for money,"Great home & garden item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase.",84,31,True,2025-06-22,en,1.0,20,False,True,True,2025-10-24 08:51:22.473045,2025-10-24 08:51:22.473045
REV_00000007,USER_000067,PROD_000119,4,Amazing quality,I'm really happy with this books product. The quality is excellent and it works exactly as described. Would definitely recommend to others.,93,43,True,2025-02-08,en,0.752322516935726,22,False,False,False,2025-10-24 08:51:22.473316,2025-10-24 08:51:22.473316
REV_00000008,USER_000349,PROD_000173,4,Best purchase ever,"This sports & outdoors product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Easy to use.",67,29,True,2025-01-25,en,0.7528942181390619,24,False,False,False,2025-10-24 08:51:22.473584,2025-10-24 08:51:22.473585
REV_00000009,USER_000029,PROD_000331,5,Excellent product!,"Great clothing item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase. Easy to use.",1,105,True,2025-01-14,en,1.0,21,False,False,True,2025-10-24 08:51:22.473850,2025-10-24 08:51:22.473851
REV_00000010,USER_000347,PROD_000053,4,Excellent product!,"This clothing product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again!",83,63,True,2025-09-06,en,0.7966245131555931,19,True,False,False,2025-10-24 08:51:22.474115,2025-10-24 08:51:22.474115
REV_00000011,USER_000707,PROD_000008,5,Amazing quality,"Great home & garden item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase. Recommended by a friend.",13,41,True,2025-07-25,en,0.9995732123490377,24,True,False,False,2025-10-24 08:51:22.474389,2025-10-24 08:51:22.474389
REV_00000012,USER_000387,PROD_000092,4,Highly recommended,"Great home & garden item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase.",66,70,True,2025-07-14,en,0.6604296276056845,20,False,False,True,2025-10-24 08:51:22.474661,2025-10-24 08:51:22.474662
REV_00000013,USER_000830,PROD_000164,4,Great value for money,"Great clothing item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase.",10,3,True,2024-10-27,en,0.8374206917979852,18,False,False,False,2025-10-24 08:51:22.474930,2025-10-24 08:51:22.474931
REV_00000014,USER_000847,PROD_000311,5,Great value for money,"This beauty & personal care product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again!",0,11,False,2024-11-19,en,0.9198628158627532,22,False,False,False,2025-10-24 08:51:22.475200,2025-10-24 08:51:22.475200
REV_00000015,USER_000902,PROD_000263,5,Best purchase ever,"This automotive product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again!",65,75,False,2025-05-31,en,1.0,19,True,True,False,2025-10-24 08:51:22.475469,2025-10-24 08:51:22.475469
REV_00000016,USER_000786,PROD_000191,1,Poor quality,"This books product is awful. Cheap materials, poor construction, and doesn't match the description at all.",51,50,False,2025-07-19,en,0.011459122162627275,16,False,False,False,2025-10-24 08:51:22.475729,2025-10-24 08:51:22.475729
REV_00000017,USER_000720,PROD_000353,5,Excellent product!,"This beauty & personal care product is fantastic. Good build quality, works perfectly, and great value for the price. Will buy again! Shipping was fast.",40,20,True,2024-12-09,en,0.9752446225207676,25,False,True,False,2025-10-24 08:51:22.475991,2025-10-24 08:51:22.475991
REV_00000018,USER_000539,PROD_000407,4,Excellent product!,"Great automotive item! Fast shipping, good packaging, and the product exceeded my expectations. Very satisfied with this purchase.",69,48,True,2024-11-11,en,0.682301676906602,18,False,False,True,2025-10-24 08:51:22.476451,2025-10-24 08:51:22.476452
